Sample_name	type	Area	location	Timepoint	nest	size	ID
Lar-01-01	larvae	Ringstad	finnoya	3	22A	NA	1
Lar-01-02	larvae	Ringstad	finnoya	3	22A	NA	2
Lar-01-03	larvae	Ringstad	finnoya	3	22A	NA	3
Lar-01-04	larvae	Ringstad	finnoya	3	22A	NA	4
Lar-01-05	larvae	Ringstad	finnoya	3	22A	NA	5
Lar-01-06	larvae	Ringstad	finnoya	3	22A	NA	6
Lar-01-07	larvae	Ringstad	finnoya	3	22A	NA	7
Lar-01-08	larvae	Ringstad	finnoya	3	22A	NA	8
Lar-01-09	larvae	Ringstad	finnoya	3	22A	NA	9
Lar-01-10	larvae	Ringstad	finnoya	3	22A	NA	10
Lar-01-11	larvae	Ringstad	finnoya	3	22A	NA	11
Lar-01-12	larvae	Ringstad	finnoya	3	22A	NA	12
Lar-01-13	larvae	Ringstad	finnoya	3	22A	NA	13
Lar-01-14	larvae	Ringstad	finnoya	3	22A	NA	14
Lar-01-15	larvae	Ringstad	finnoya	3	22A	NA	15
Lar-01-16	larvae	Ringstad	finnoya	3	22A	NA	16
Lar-01-17	larvae	Ringstad	finnoya	3	22A	NA	17
Lar-01-18	larvae	Ringstad	finnoya	3	22A	NA	18
Lar-01-19	larvae	Ringstad	finnoya	3	22A	NA	19
Lar-01-20	larvae	Ringstad	finnoya	3	22A	NA	20
Lar-01-21	larvae	Ringstad	finnoya	3	22A	NA	21
Lar-01-22	larvae	Ringstad	finnoya	3	22A	NA	22
Lar-01-23	larvae	Ringstad	finnoya	3	22A	NA	23
Lar-01-24	larvae	Ringstad	finnoya	3	22A	NA	24
Lar-01-25	larvae	Ringstad	finnoya	3	22A	NA	25
Lar-01-26	larvae	Ringstad	finnoya	3	22A	NA	26
Lar-01-27	larvae	Ringstad	finnoya	3	22A	NA	27
Lar-01-28	larvae	Ringstad	finnoya	3	22A	NA	28
Lar-01-29	larvae	Ringstad	finnoya	3	22A	NA	29
Lar-01-30	larvae	Ringstad	finnoya	3	22A	NA	30
Lar-01-31	larvae	Ringstad	finnoya	3	22A	NA	31
Lar-01-32	larvae	Ringstad	finnoya	3	22A	NA	32
Lar-01-33	larvae	Ringstad	finnoya	3	22A	NA	33
Lar-01-34	larvae	Ringstad	finnoya	3	22A	NA	34
Lar-01-35	larvae	Ringstad	finnoya	3	22A	NA	35
NTC_1a	technical	NA	NA	NA	NA	NA	36
Lar-02-01	larvae	Ringstad	D-Hammar	3	4A	NA	37
Lar-02-02	larvae	Ringstad	D-Hammar	3	4A	NA	38
Lar-02-03	larvae	Ringstad	D-Hammar	3	4A	NA	39
Lar-02-04	larvae	Ringstad	D-Hammar	3	4A	NA	40
Lar-02-05	larvae	Ringstad	D-Hammar	3	4A	NA	41
Lar-02-06	larvae	Ringstad	D-Hammar	3	4A	NA	42
Lar-02-07	larvae	Ringstad	D-Hammar	3	4A	NA	43
Lar-02-08	larvae	Ringstad	D-Hammar	3	4A	NA	44
Lar-02-09	larvae	Ringstad	D-Hammar	3	4A	NA	45
Lar-02-10	larvae	Ringstad	D-Hammar	3	4A	NA	46
Lar-02-11	larvae	Ringstad	D-Hammar	3	4A	NA	47
Lar-02-12	larvae	Ringstad	D-Hammar	3	4A	NA	48
Lar-02-13	larvae	Ringstad	D-Hammar	3	4A	NA	49
Lar-02-14	larvae	Ringstad	D-Hammar	3	4A	NA	50
Lar-02-15	larvae	Ringstad	D-Hammar	3	4A	NA	51
Lar-02-16	larvae	Ringstad	D-Hammar	3	4A	NA	52
Lar-02-17	larvae	Ringstad	D-Hammar	3	4A	NA	53
Lar-02-18	larvae	Ringstad	D-Hammar	3	4A	NA	54
Lar-02-19	larvae	Ringstad	D-Hammar	3	4A	NA	55
Lar-02-20	larvae	Ringstad	D-Hammar	3	4A	NA	56
Lar-02-21	larvae	Ringstad	D-Hammar	3	4A	NA	57
Lar-02-22	larvae	Ringstad	D-Hammar	3	4A	NA	58
Lar-02-23	larvae	Ringstad	D-Hammar	3	4A	NA	59
Lar-02-24	larvae	Ringstad	D-Hammar	3	4A	NA	60
Lar-02-25	larvae	Ringstad	D-Hammar	3	4A	NA	61
Lar-02-26	larvae	Ringstad	D-Hammar	3	4A	NA	62
Lar-02-27	larvae	Ringstad	D-Hammar	3	4A	NA	63
Lar-02-28	larvae	Ringstad	D-Hammar	3	4A	NA	64
Lar-02-29	larvae	Ringstad	D-Hammar	3	4A	NA	65
Lar-02-30	larvae	Ringstad	D-Hammar	3	4A	NA	66
Lar-02-31	larvae	Ringstad	D-Hammar	3	4A	NA	67
Lar-02-32	larvae	Ringstad	D-Hammar	3	4A	NA	68
Lar-02-33	larvae	Ringstad	D-Hammar	3	4A	NA	69
Lar-02-34	larvae	Ringstad	D-Hammar	3	4A	NA	70
Lar-02-35	larvae	Ringstad	D-Hammar	3	4A	NA	71
NTC_1b	technical	NA	NA	NA	NA	NA	72
Lar-03-01	larvae	Ringstad	D-Hammar	3	2A	NA	73
Lar-03-02	larvae	Ringstad	D-Hammar	3	2A	NA	74
Lar-03-03	larvae	Ringstad	D-Hammar	3	2A	NA	75
Lar-03-04	larvae	Ringstad	D-Hammar	3	2A	NA	76
Lar-03-05	larvae	Ringstad	D-Hammar	3	2A	NA	77
Lar-03-06	larvae	Ringstad	D-Hammar	3	2A	NA	78
Lar-03-07	larvae	Ringstad	D-Hammar	3	2A	NA	79
Lar-03-08	larvae	Ringstad	D-Hammar	3	2A	NA	80
Lar-03-09	larvae	Ringstad	D-Hammar	3	2A	NA	81
Lar-03-10	larvae	Ringstad	D-Hammar	3	2A	NA	82
Lar-03-11	larvae	Ringstad	D-Hammar	3	2A	NA	83
Lar-03-12	larvae	Ringstad	D-Hammar	3	2A	NA	84
Lar-03-13	larvae	Ringstad	D-Hammar	3	2A	NA	85
