Locality	Sub-locality	date	Sum M	Sum F
Bondehl	Bonde N	28/04/2008	40	72
Bondehl	Bonde N	28/04/2008	69	364
Bondehl	Bonde N	28/04/2008	39	68
Bondehl	Bonde N	28/04/2008	79	348
Bondehl	Bonde S	28/04/2008	53	490
Bondehl	Bonde S	28/04/2008	50	147
Bondehl	Bonde S	28/04/2008	51	336
Bondehl	Bonde S	28/04/2008	47	179
Veddlingevik	Veddlinge inner	29/04/2008	19	105
Veddlingevik	Veddlinge inner	29/04/2008	5	25
Veddlingevik	Veddlinge inner	29/04/2008	22	44
Veddlingevik	Veddlinge inner	29/04/2008	5	29
Veddlingevik	Veddlinge outer	29/04/2008	5	37
Veddlingevik	Veddlinge outer	29/04/2008	15	40
Veddlingevik	Veddlinge outer	29/04/2008	7	16
Veddlingevik	Veddlinge outer	29/04/2008	9	20
Gåsevik	Gåsevik N	29/04/2008	31	85
Gåsevik	Gåsevik N	29/04/2008	14	48
Gåsevik	Gåsevik N	29/04/2008	36	99
Gåsevik	Gåsevik S	29/04/2008	22	59
Gåsevik	Gåsevik S	29/04/2008	38	289
Gåsevik	Gåsevik S	29/04/2008	26	288
Bondehl	Bonde N	13/06/2008	11	12
Bondehl	Bonde N	13/06/2008	7	20
Bondehl	Bonde N	13/06/2008	12	23
Bondehl	Bonde N	13/06/2008	7	11
Bondehl	Bonde S	13/06/2008	4	0
Bondehl	Bonde S	13/06/2008	1	1
Bondehl	Bonde S	13/06/2008	1	0
Bondehl	Bonde S	13/06/2008	3	0
Veddlingevik	Veddlinge inner	13/06/2008	12	4
Veddlingevik	Veddlinge inner	13/06/2008	4	2
Veddlingevik	Veddlinge inner	13/06/2008	8	2
Veddlingevik	Veddlinge inner	13/06/2008	4	3
Veddlingevik	Veddlinge outer	13/06/2008	4	2
Veddlingevik	Veddlinge outer	13/06/2008	11	5
Veddlingevik	Veddlinge outer	13/06/2008	6	4
Veddlingevik	Veddlinge outer	13/06/2008	9	3
Gåsevik	Gåsevik N	13/06/2008	7	6
Gåsevik	Gåsevik N	13/06/2008	0	3
Gåsevik	Gåsevik N	13/06/2008	5	1
Gåsevik	Gåsevik N	13/06/2008	3	5
Gåsevik	Gåsevik S	13/06/2008	8	3
Gåsevik	Gåsevik S	13/06/2008	5	1
Gåsevik	Gåsevik S	13/06/2008	3	1
Gåsevik	Gåsevik S	13/06/2008	4	1
Bondehl	Bonde N	09/07/2008	1	11
Bondehl	Bonde N	09/07/2008	1	32
Bondehl	Bonde N	09/07/2008	0	10
Bondehl	Bonde N	09/07/2008	2	39
Bondehl	Bonde S	09/07/2008	0	5
Bondehl	Bonde S	09/07/2008	0	8
Bondehl	Bonde S	09/07/2008	1	5
Bondehl	Bonde S	09/07/2008	0	9
Veddlingevik	Veddlinge inner	09/07/2008	3	20
Veddlingevik	Veddlinge inner	09/07/2008	3	21
Veddlingevik	Veddlinge inner	09/07/2008	2	8
Veddlingevik	Veddlinge inner	09/07/2008	3	5
Veddlingevik	Veddlinge outer	09/07/2008	3	14
Veddlingevik	Veddlinge outer	09/07/2008	2	10
Veddlingevik	Veddlinge outer	09/07/2008	1	11
Veddlingevik	Veddlinge outer	09/07/2008	2	15
Gåsevik	Gåsevik N	03/07/2008	2	17
Gåsevik	Gåsevik N	03/07/2008	3	24
Gåsevik	Gåsevik N	03/07/2008	2	24
Gåsevik	Gåsevik N	03/07/2008	2	32
Gåsevik	Gåsevik S	03/07/2008	0	2
Gåsevik	Gåsevik S	03/07/2008	0	4
Gåsevik	Gåsevik S	03/07/2008	0	3
Gåsevik	Gåsevik S	03/07/2008	0	3
