"","location","timepoint","f1","f2","f3","m","u","area"
"1","Blabergsholmen","Timepoint 1",13,41,5,32,0,"Kristineberg"
"2","Katten","Timepoint 1",28,26,6,27,0,"Kristineberg"
"3","Pittleholmen","Timepoint 1",21,30,14,33,0,"Kristineberg"
"4","Rodberget","Timepoint 1",34,39,5,31,0,"Kristineberg"
"5","Tjallsoholmen","Timepoint 1",18,27,11,42,0,"Kristineberg"
"26","Blabergsholmen","Timepoint 2",25,31,27,24,0,"Kristineberg"
"27","Katten","Timepoint 2",35,38,23,18,0,"Kristineberg"
"28","Pittleholmen","Timepoint 2",30,30,22,21,0,"Kristineberg"
"29","Rodberget","Timepoint 2",20,25,12,23,0,"Kristineberg"
"30","Tjallsoholmen","Timepoint 2",17,36,26,21,0,"Kristineberg"
"51","Blabergsholmen","Timepoint 3",22,16,15,5,0,"Kristineberg"
"52","Katten","Timepoint 3",33,19,7,7,0,"Kristineberg"
"53","Pittleholmen","Timepoint 3",21,25,17,17,0,"Kristineberg"
"54","Rodberget","Timepoint 3",16,28,14,5,0,"Kristineberg"
"55","Tjallsoholmen","Timepoint 3",47,27,14,8,0,"Kristineberg"
"11","Badstuholmen","Timepoint 1",21,13,5,29,0,"Arendal"
"21","Langrumpa","Timepoint 1",65,35,21,27,0,"Arendal"
"31","St Helena","Timepoint 1",30,11,8,21,0,"Arendal"
"41","Sven Johnsens","Timepoint 1",12,9,6,36,0,"Arendal"
"56","Tvillingeholmen","Timepoint 1",20,14,8,33,0,"Arendal"
"261","Badstuholmen","Timepoint 2",49,42,24,14,0,"Arendal"
"271","Langrumpa","Timepoint 2",26,27,22,29,0,"Arendal"
"281","St Helena","Timepoint 2",50,52,28,33,0,"Arendal"
"291","Sven Johnsens","Timepoint 2",35,29,23,9,0,"Arendal"
"301","Tvillingeholmen","Timepoint 2",66,48,19,8,0,"Arendal"
"511","Badstuholmen","Timepoint 3",21,19,12,26,0,"Arendal"
"521","Langrumpa","Timepoint 3",13,17,3,28,0,"Arendal"
"531","St Helena","Timepoint 3",29,19,3,26,0,"Arendal"
"541","Sven Johnsens","Timepoint 3",43,24,10,13,0,"Arendal"
"551","Tvillingeholmen","Timepoint 3",32,20,12,5,0,"Arendal"
"12","Krabbavika","Timepoint 1",19,20,12,47,0,"Austevoll"
"22","Lamoya","Timepoint 1",36,25,23,25,0,"Austevoll"
"32","Saltkjaerholmane","Timepoint 1",10,22,28,35,0,"Austevoll"
"42","Ternholmen","Timepoint 1",37,41,15,25,0,"Austevoll"
"57","Tipatiskaeret","Timepoint 1",33,27,9,35,0,"Austevoll"
"262","Krabbavika","Timepoint 2",37,26,8,31,0,"Austevoll"
"272","Lamoya","Timepoint 2",56,60,13,13,0,"Austevoll"
"282","Saltkjaerholmane","Timepoint 2",35,36,19,27,0,"Austevoll"
"292","Ternholmen","Timepoint 2",89,57,24,25,0,"Austevoll"
"302","Tipatiskaeret","Timepoint 2",63,46,9,17,0,"Austevoll"
"512","Krabbavika","Timepoint 3",93,7,2,7,0,"Austevoll"
"522","Lamoya","Timepoint 3",26,5,1,4,0,"Austevoll"
"532","Saltkjaerholmane","Timepoint 3",19,2,1,1,0,"Austevoll"
