location	site	day	month	year	Tot M	Tot F
Kristineberg	Råttholmen	11	May	2007	18	24
Kristineberg	Råttholmen	11	May	2007	9	25
Kristineberg	Råttholmen	11	May	2007	9	14
Kristineberg	Råttholmen	11	May	2007	13	34
Kristineberg	Råttholmen	11	May	2007	10	34
Kristineberg	BlåbergshN	11	May	2007	24	29
Kristineberg	BlåbergshN	11	May	2007	14	19
Kristineberg	BlåbergshN	11	May	2007	30	39
Kristineberg	BlåbergshS	12	May	2007	26	46
Kristineberg	BlåbergshS	12	May	2007	16	45
Kristineberg	BlåbergshN	3	June	2007	6	38
Kristineberg	BlåbergshN	3	June	2007	5	75
Kristineberg	BlåbergshS	3	June	2007	2	16
Kristineberg	BlåbergshS	3	June	2007	7	16
Kristineberg	Råttholmen	3	June	2007	2	5
Kristineberg	Råttholmen	3	June	2007	3	9
Kristineberg	BlåbergshS	4	July	2007	1	8
Kristineberg	BlåbergshS	4	July	2007	2	9
Kristineberg	BlåbergshN	4	July	2007	2	69
Kristineberg	BlåbergshN	4	July	2007	7	164
Kristineberg	Råttholmen	4	July	2007	2	46
Kristineberg	Råttholmen	4	July	2007	2	31
Bergen	Kvalen	21	May	2007	43	162
Bergen	Kvalen	21	May	2007	37	149
Bergen	öy/kakehus	25	May	2007	48	100
Bergen	öy/kakehus	25	May	2007	27	72
Bergen	öy/hordamus	25	May	2007	14	53
Bergen	öy/hordamus	25	May	2007	27	114
Bergen	Kvalen	26	June	2007	20	128
Bergen	öy/kakehus	26	June	2007	9	26
Bergen	öy/hordamus	26	June	2007	13	139
