size	name
16	_S429_L001_R1_001.fastq.gz
16	_S429_L001_R2_001.fastq.gz
36	_S49_L001_R1_001.fastq.gz
36	_S49_L001_R2_001.fastq.gz
52	_S141_L001_R2_001.fastq.gz
56	_S141_L001_R1_001.fastq.gz
56	_S621_L001_R1_001.fastq.gz
56	_S621_L001_R2_001.fastq.gz
60	_S525_L001_R1_001.fastq.gz
60	_S525_L001_R2_001.fastq.gz
68	_S237_L001_R1_001.fastq.gz
68	_S237_L001_R2_001.fastq.gz
68	_S45_L001_R1_001.fastq.gz
68	_S45_L001_R2_001.fastq.gz
68	_S537_L001_R1_001.fastq.gz
68	_S537_L001_R2_001.fastq.gz
76	_S333_L001_R1_001.fastq.gz
76	_S333_L001_R2_001.fastq.gz
92	_S36_L001_R2_001.fastq.gz
96	_S36_L001_R1_001.fastq.gz
96	_S401_L001_R1_001.fastq.gz
96	_S401_L001_R2_001.fastq.gz
120	_S717_L001_R1_001.fastq.gz
120	_S717_L001_R2_001.fastq.gz
192	_S251_L001_R1_001.fastq.gz
192	_S251_L001_R2_001.fastq.gz
200	_S215_L001_R1_001.fastq.gz
204	_S215_L001_R2_001.fastq.gz
208	_S108_L001_R1_001.fastq.gz
212	_S108_L001_R2_001.fastq.gz
256	_S72_L001_R1_001.fastq.gz
256	_S72_L001_R2_001.fastq.gz
288	_S50_L001_R1_001.fastq.gz
288	_S50_L001_R2_001.fastq.gz
304	_S186_L001_R1_001.fastq.gz
304	_S465_L001_R1_001.fastq.gz
308	_S186_L001_R2_001.fastq.gz
308	_S465_L001_R2_001.fastq.gz
312	_S378_L001_R1_001.fastq.gz
316	_S378_L001_R2_001.fastq.gz
320	_S322_L001_R1_001.fastq.gz
320	_S322_L001_R2_001.fastq.gz
340	_S379_L001_R1_001.fastq.gz
340	_S379_L001_R2_001.fastq.gz
356	_S179_L001_R2_001.fastq.gz
364	_S179_L001_R1_001.fastq.gz
388	_S282_L001_R1_001.fastq.gz
392	_S282_L001_R2_001.fastq.gz
412	_S501_L001_R1_001.fastq.gz
432	_S501_L001_R2_001.fastq.gz
464	_S394_L001_R2_001.fastq.gz
468	_S394_L001_R1_001.fastq.gz
524	_S358_L001_R1_001.fastq.gz
524	_S358_L001_R2_001.fastq.gz
648	_S381_L001_R1_001.fastq.gz
664	_S381_L001_R2_001.fastq.gz
796	_S763_L001_R1_001.fastq.gz
796	_S763_L001_R2_001.fastq.gz
856	_S90_L001_R1_001.fastq.gz
860	_S476_L001_R2_001.fastq.gz
872	_S90_L001_R2_001.fastq.gz
876	_S476_L001_R1_001.fastq.gz
1048	_S104_L001_R2_001.fastq.gz
1076	_S104_L001_R1_001.fastq.gz
1080	_S284_L001_R2_001.fastq.gz
1100	_S284_L001_R1_001.fastq.gz
1120	_S740_L001_R1_001.fastq.gz
1128	_S766_L001_R1_001.fastq.gz
1132	_S740_L001_R2_001.fastq.gz
1136	_S584_L001_R2_001.fastq.gz
1144	_S91_L001_R1_001.fastq.gz
1144	_S91_L001_R2_001.fastq.gz
1152	_S584_L001_R1_001.fastq.gz
1152	_S671_L001_R1_001.fastq.gz
1152	_S766_L001_R2_001.fastq.gz
1168	_S671_L001_R2_001.fastq.gz
1180	_S704_L001_R1_001.fastq.gz
1184	_S384_L001_R2_001.fastq.gz
1200	_S456_L001_R2_001.fastq.gz
1212	_S384_L001_R1_001.fastq.gz
1212	_S704_L001_R2_001.fastq.gz
1216	_S456_L001_R1_001.fastq.gz
1644	_S382_L001_R1_001.fastq.gz
1664	_S187_L001_R1_001.fastq.gz
1672	_S187_L001_R2_001.fastq.gz
1672	_S382_L001_R2_001.fastq.gz
1784	_S765_L001_R1_001.fastq.gz
1828	_S496_L001_R2_001.fastq.gz
1836	_S765_L001_R2_001.fastq.gz
1856	_S392_L001_R2_001.fastq.gz
1904	_S392_L001_R1_001.fastq.gz
1924	_S283_L001_R2_001.fastq.gz
1936	_S404_L001_R1_001.fastq.gz
1936	_S404_L001_R2_001.fastq.gz
1936	_S439_L001_R2_001.fastq.gz
1944	_S283_L001_R1_001.fastq.gz
1952	_S439_L001_R1_001.fastq.gz
