Sample	Error rate: mismatches (NM) / bases mapped (CIGAR)	Non-primary alignments (millions)	Reads Mapped in the bam file (millions)	% Mapped Reads	% Properly Paired Reads	% of Reads that are Ambiguously Placed (MapQ=0)	Total sequences in the bam file (millions)
SORT-1	4.495382	0	0.030607	98.0051232788985	14.57572846621838	68.02113352545629	0.031229999999999997
SORT-10	5.7308959999999995	0	0.044747999999999996	99.3472758758492	36.414901647351364	48.65680920030194	0.045042
SORT-100	5.911582	0	0.032385	99.26132532336173	38.01262796542635	46.05529332434255	0.032625999999999995
SORT-101	5.6684980000000005	0	0.035855	99.04148942047401	33.52853433511961	49.20722612010386	0.036202
SORT-102	5.348651	0	0.036826	99.12252368647717	32.14362618432386	50.79403531438415	0.037152
SORT-103	5.629196	0	0.039522	99.22671353251317	35.32513181019332	47.57218177253327	0.03983
SORT-104	4.923014	0	0.002434	28.487827715355806	4.4709737827715355	18.632958801498127	0.008544
SORT-105	4.908739	0	0.035334	99.69527679024885	20.557530613396537	61.08289599909712	0.035442
SORT-106	5.652337999999999	0	0.034364	98.7074165565577	37.44470615269719	44.944562532314585	0.034814
SORT-107	5.624587	0	0.036278	98.87707822294904	32.722812755519215	49.67293540474243	0.03669
SORT-108	4.780249	0	0.00011399999999999999	7.133917396745932	1.376720901126408	4.943679599499374	0.001598
SORT-109	6.034719	0	0.030282999999999997	98.86066858187516	39.05719509010186	44.32619482893706	0.030632
SORT-11	5.6517230000000005	0	0.043678999999999996	99.09478651481464	34.28467716321067	49.61885747992196	0.044078
SORT-110	6.123031	0	0.039813	99.12114723895832	83.66777871831897	40.19319822735647	0.040166
SORT-111	6.067152	0	0.03204	99.05397885364496	46.46014963210289	42.169047177394425	0.032346
SORT-112	6.0349189999999995	0	0.021124999999999998	99.19703230653644	38.47670924117205	44.66096919609316	0.021296
SORT-113	4.828366	0	0.029997	99.6247093988708	21.99269345732315	60.27565592826304	0.030109999999999998
SORT-114	5.64333	0	0.032264	99.09699612998341	32.49585355365809	50.36857300817004	0.032558
SORT-115	6.033694	0	0.026164999999999997	99.36579067294547	34.2169223758165	49.008810572687224	0.026331999999999998
SORT-116	5.883923	0	0.036648	99.18267929634641	40	46.503382949932345	0.03695
SORT-117	5.917473	0	0.038832	99.07133380957241	54.520869476477195	46.377181345035204	0.039196
SORT-118	5.994419	0	0.036591	98.6120842990352	79.59359672290196	38.3091683285722	0.037106
SORT-119	5.7260159999999996	0	0.040872	99.15574963609897	39.81077147016012	46.46773410965551	0.04122
SORT-12	5.620844	0	0.039969	99.37099099995027	32.28084133061508	55.21605091740839	0.040222
SORT-120	6.078011	0	0.038699	99.27911749615187	45.659312467932274	41.993329912775785	0.03898
SORT-121	4.8523	0	0.032972	99.73381730187538	21.076830006049608	60.9134906231095	0.03306
SORT-122	5.563777	0	0.03377	99.06712039427364	30.1513729171556	52.44954236094813	0.034088
SORT-123	5.579892999999999	0	0.03376	98.93910087333686	31.868003047886994	50.47183635191372	0.034122
SORT-124	6.021686	0	0.038209	98.97166243589079	38.165052064445945	44.77024296741439	0.038606
SORT-125	6.235538	0	0.039032	98.67030689114718	47.82850498002932	39.170332170483846	0.039557999999999996
SORT-126	5.872929	0	0.033593	98.83200941453369	35.939982347749336	46.88731979994116	0.03399
SORT-127	5.851712	0	0.039487	99.36336185203825	40.82033215903372	45.87065928535481	0.03974
