ID	Percent_Mapped	filesize	type	plate	platePOS	plateCOL	plateROW	fsize.cut	permap.cut
1	98.0051232788985	3488	unknown	1	1	1	1	>3Mb	>90%
10	99.3472758758492	4948	unknown	1	2	2	2	>3Mb	>90%
100	99.26132532336173	3608	unknown	2	1	1	4	>3Mb	>90%
101	99.04148942047401	3972	unknown	2	1	1	5	>3Mb	>90%
102	99.12252368647717	4064	unknown	2	1	1	6	>3Mb	>90%
103	99.22671353251317	4300	unknown	2	1	1	7	>3Mb	>90%
104	28.487827715355806	1048	unknown	2	1	1	8	750Kb-1.5Mb	25-65%
105	99.69527679024885	3844	unknown	2	2	2	1	>3Mb	>90%
106	98.7074165565577	3804	unknown	2	2	2	2	>3Mb	>90%
107	98.87707822294904	3996	unknown	2	2	2	3	>3Mb	>90%
108	7.133917396745932	208	"trusted NTC"	2	2	2	4	0-750Kb	0-25%
109	98.86066858187516	3396	unknown	2	2	2	5	>3Mb	>90%
11	99.09478651481464	4820	unknown	1	2	2	3	>3Mb	>90%
110	99.12114723895832	4436	unknown	2	2	2	6	>3Mb	>90%
111	99.05397885364496	3424	unknown	2	2	2	7	>3Mb	>90%
112	99.19703230653644	2248	unknown	2	2	2	8	1.5Mb-3Mb	>90%
113	99.6247093988708	3212	unknown	2	3	3	1	>3Mb	>90%
114	99.09699612998341	3548	unknown	2	3	3	2	>3Mb	>90%
115	99.36579067294547	2892	unknown	2	3	3	3	1.5Mb-3Mb	>90%
116	99.18267929634641	4100	unknown	2	3	3	4	>3Mb	>90%
117	99.07133380957241	4316	unknown	2	3	3	5	>3Mb	>90%
118	98.6120842990352	4176	unknown	2	3	3	6	>3Mb	>90%
119	99.15574963609897	4492	unknown	2	3	3	7	>3Mb	>90%
12	99.37099099995027	4560	unknown	1	2	2	4	>3Mb	>90%
120	99.27911749615187	4176	unknown	2	3	3	8	>3Mb	>90%
121	99.73381730187538	3664	unknown	2	4	4	1	>3Mb	>90%
122	99.06712039427364	3772	unknown	2	4	4	2	>3Mb	>90%
123	98.93910087333686	3760	unknown	2	4	4	3	>3Mb	>90%
124	98.97166243589079	4244	unknown	2	4	4	4	>3Mb	>90%
125	98.67030689114718	4380	unknown	2	4	4	5	>3Mb	>90%
126	98.83200941453369	3840	unknown	2	4	4	6	>3Mb	>90%
127	99.36336185203825	4388	unknown	2	4	4	7	>3Mb	>90%
128	99.07337257415934	3856	unknown	2	4	4	8	>3Mb	>90%
129	99.74564775039566	3892	unknown	2	5	5	1	>3Mb	>90%
13	99.21879298013974	4088	unknown	1	2	2	5	>3Mb	>90%
130	99.34386120996442	3988	unknown	2	5	5	2	>3Mb	>90%
131	99.32128055739084	3668	unknown	2	5	5	3	>3Mb	>90%
132	99.23819197562214	3356	unknown	2	5	5	4	>3Mb	>90%
133	99.17967280932682	4692	unknown	2	5	5	5	>3Mb	>90%
134	99.30952032401308	4552	unknown	2	5	5	6	>3Mb	>90%
135	99.2607073839378	4736	unknown	2	5	5	7	>3Mb	>90%
136	99.3415847179835	3784	unknown	2	5	5	8	>3Mb	>90%
137	99.71289867933393	4096	unknown	2	6	6	1	>3Mb	>90%
138	99.22508021099571	3952	unknown	2	6	6	2	>3Mb	>90%
139	98.81409721062302	4032	unknown	2	6	6	3	>3Mb	>90%
14	99.33348294434471	4904	unknown	1	2	2	6	>3Mb	>90%
140	99.20991926182238	3840	unknown	2	6	6	4	>3Mb	>90%
141	97.65258215962442	52	unknown	2	6	6	5	0-750Kb	>90%
142	98.87403574337597	4628	unknown	2	6	6	6	>3Mb	>90%
143	99.08882192567083	4440	unknown	2	6	6	7	>3Mb	>90%
144	99.06691752262789	4284	unknown	2	6	6	8	>3Mb	>90%
145	99.68395381246266	4388	unknown	2	7	7	1	>3Mb	>90%
146	99.17850462565087	4360	unknown	2	7	7	2	>3Mb	>90%
