pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
PflaKGBHm	OZ251424.1	1	30000	0.0046674445740956	1714	8	1714	0
PflaHELAf	OZ251424.1	1	30000	0.0058343057176196	1714	10	1714	0
PflaHELEm	OZ251424.1	1	30000	0.0087514585764294	1714	15	1714	0
PflaKGBDf	OZ251424.1	1	30000	0.0058343057176196	1714	10	1714	0
PflaHELAf	OZ251424.1	30001	60000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	30001	60000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	30001	60000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	30001	60000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	60001	90000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	60001	90000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	60001	90000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	60001	90000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	90001	120000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	90001	120000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	90001	120000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	90001	120000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	120001	150000	0.05	20	1	20	0
PflaHELEm	OZ251424.1	120001	150000	0.05	20	1	20	0
PflaKGBHm	OZ251424.1	120001	150000	0.05	20	1	20	0
PflaHELAf	OZ251424.1	120001	150000	0.0	20	0	20	0
PflaHELAf	OZ251424.1	150001	180000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	150001	180000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	150001	180000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	150001	180000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	180001	210000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	180001	210000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	180001	210000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	180001	210000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	210001	240000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	210001	240000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	210001	240000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	210001	240000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	240001	270000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	240001	270000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	240001	270000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	240001	270000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	270001	300000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	270001	300000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	270001	300000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	270001	300000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	300001	330000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	300001	330000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	300001	330000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	300001	330000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	330001	360000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	330001	360000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	330001	360000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	330001	360000	NA	0	NA	NA	NA
PflaHELAf	OZ251424.1	360001	390000	NA	0	NA	NA	NA
PflaKGBDf	OZ251424.1	360001	390000	NA	0	NA	NA	NA
PflaHELEm	OZ251424.1	360001	390000	NA	0	NA	NA	NA
PflaKGBHm	OZ251424.1	360001	390000	NA	0	NA	NA	NA
