Contig	Position	Length	Marker_id	Bias	P	CorrectedP	Signif
h2tg000053l	2922586	5037559	89788391	0.711111	1e-16	9.46019e-10	True
h2tg000053l	3600011	5037559	85857377	0.811111	1e-16	9.46019e-10	True
h2tg000053l	2824842	5037559	85814489	0.533333	6.57252e-14	6.21773e-7	True
h2tg000053l	3732709	5037559	84166705	0.744444	1e-16	9.46019e-10	True
h2tg000053l	3039620	5037559	82583935	0.744444	1e-16	9.46019e-10	True
h2tg000053l	3920694	5037559	80159798	0.744444	1e-16	9.46019e-10	True
h2tg000053l	2873049	5037559	79163772	0.688889	1e-16	9.46019e-10	True
h2tg000053l	2594474	5037559	78060603	0.766667	1e-16	9.46019e-10	True
h2tg000053l	2603807	5037559	76060961	0.766667	1e-16	9.46019e-10	True
h2tg000053l	3123687	5037559	73962926	0.544444	1.45439e-14	1.37588e-7	True
h2tg000053l	3106646	5037559	73578426	0.411111	1.57498e-10	0.00148996	True
h2tg000053l	3574115	5037559	70198539	0.766667	1e-16	9.46019e-10	True
h2tg000053l	2666761	5037559	69426871	0.422222	1.38849e-10	0.00131354	True
h2tg000053l	2960109	5037559	68008734	0.688889	1e-16	9.46019e-10	True
h2tg000053l	2512891	5037559	66805938	0.422222	7.01234e-11	6.6338e-4	True
h2tg000053l	2959970	5037559	61667101	0.666667	1e-16	9.46019e-10	True
h2tg000053l	2643267	5037559	60733120	0.622222	2.22045e-16	2.10058e-9	True
h2tg000053l	3860347	5037559	60572233	0.7	1e-16	9.46019e-10	True
h2tg000053l	2822080	5037559	58707718	0.722222	1e-16	9.46019e-10	True
h2tg000053l	3212887	5037559	58455681	0.544444	4.07452e-14	3.85457e-7	True
h2tg000053l	3289200	5037559	58204955	0.511111	1.36002e-13	1.28661e-6	True
h2tg000053l	2484165	5037559	57823573	0.811111	1e-16	9.46019e-10	True
h2tg000053l	3844762	5037559	57768533	0.611111	1.11022e-16	1.05029e-9	True
h2tg000053l	3117957	5037559	57350519	0.644444	1e-16	9.46019e-10	True
h2tg000053l	2633817	5037559	56180638	0.633333	1e-16	9.46019e-10	True
h2tg000053l	3929904	5037559	55896954	0.644444	1e-16	9.46019e-10	True
h2tg000053l	2512750	5037559	55725450	0.577778	3.10862e-15	2.94082e-8	True
