pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dx	no_sites	count_diffs	count_comparisons	count_missing
Female	Male	OZ251424.1	1	50000	0.0043757292882147	1714	120	27424	0
Female	Male	OZ251424.1	50001	100000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	100001	150000	0.025	20	8	320	0
Female	Male	OZ251424.1	150001	200000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	200001	250000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	250001	300000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	300001	350000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	350001	400000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	400001	450000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	450001	500000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	500001	550000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	550001	600000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	600001	650000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	650001	700000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	700001	750000	0.0	2	0	32	0
Female	Male	OZ251424.1	750001	800000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	800001	850000	NA	0	NA	NA	NA
Female	Male	OZ251424.1	850001	900000	0.002509783903352	5877	236	94032	0
Female	Male	OZ251424.1	900001	950000	0.0020249647832211	25556	828	408896	0
Female	Male	OZ251424.1	950001	1000000	0.0008824847783048	26771	378	428336	0
Female	Male	OZ251424.1	1000001	1050000	0.0009497036924479	26324	400	421184	0
Female	Male	OZ251424.1	1050001	1100000	0.0003998118532455	26575	170	425200	0
Female	Male	OZ251424.1	1100001	1150000	0.0007804869540951	28668	358	458688	0
Female	Male	OZ251424.1	1150001	1200000	0.0006402567510616	30847	316	493552	0
Female	Male	OZ251424.1	1200001	1250000	0.0008206705756049	24218	318	387488	0
Female	Male	OZ251424.1	1250001	1300000	0.0003311716556605	25289	134	404624	0
Female	Male	OZ251424.1	1300001	1350000	0.0019850765750087	22984	730	367744	0
Female	Male	OZ251424.1	1350001	1400000	0.0003718213806362	27567	164	441072	0
Female	Male	OZ251424.1	1400001	1450000	0.0001992320510034	27606	88	441696	0
Female	Male	OZ251424.1	1450001	1500000	0.0005985295480522	32400	310	517936	464
Female	Male	OZ251424.1	1500001	1550000	0.0006593285114178	31661	334	506576	0
Female	Male	OZ251424.1	1550001	1600000	0.0018204582086115	34744	1012	555904	0
Female	Male	OZ251424.1	1600001	1650000	0.0008494350745046	36642	498	586272	0
Female	Male	OZ251424.1	1650001	1700000	0.0006176843015534	32379	320	518064	0
Female	Male	OZ251424.1	1700001	1750000	0.0024807137388846	33962	1348	543392	0
Female	Male	OZ251424.1	1750001	1800000	0.0024911441983699	34753	1384	555568	480
Female	Male	OZ251424.1	1800001	1850000	0.0031902032775141	22334	1140	357344	0
Female	Male	OZ251424.1	1850001	1900000	0.0020137487146284	26257	846	420112	0
Female	Male	OZ251424.1	1900001	1950000	0.0039909414909414	20202	1290	323232	0
Female	Male	OZ251424.1	1950001	2000000	0.0024027670081214	24503	942	392048	0
